"REF_DATE","GEO","DGUID","Month of birth","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1991","Ontario, place of residence of mother","2016A000235","Month of birth, April","Percentage of live births","Percentage","242","units","0","v21400701","7.5.2","8.8","","","","1"
"1991","Ontario, place of residence of mother","2016A000235","Month of birth, May","Number of live births","Number","223","units","0","v21400702","7.6.1","13768","","","","0"
"1991","Ontario, place of residence of mother","2016A000235","Month of birth, May","Percentage of live births","Percentage","242","units","0","v21400703","7.6.2","9.0","","","","1"
"1991","Ontario, place of residence of mother","2016A000235","Month of birth, June","Number of live births","Number","223","units","0","v21400704","7.7.1","12952","","","","0"
"1991","Ontario, place of residence of mother","2016A000235","Month of birth, June","Percentage of live births","Percentage","242","units","0","v21400705","7.7.2","8.5","","","","1"
"1991","Ontario, place of residence of mother","2016A000235","Month of birth, July","Number of live births","Number","223","units","0","v21400706","7.8.1","13524","","","","0"
"1991","Ontario, place of residence of mother","2016A000235","Month of birth, July","Percentage of live births","Percentage","242","units","0","v21400707","7.8.2","8.9","","","","1"
"1991","Ontario, place of residence of mother","2016A000235","Month of birth, August","Number of live births","Number","223","units","0","v21400708","7.9.1","13217","","","","0"
"1991","Ontario, place of residence of mother","2016A000235","Month of birth, August","Percentage of live births","Percentage","242","units","0","v21400709","7.9.2","8.7","","","","1"
"1991","Ontario, place of residence of mother","2016A000235","Month of birth, September","Number of live births","Number","223","units","0","v21400710","7.10.1","12921","","","","0"
"1991","Ontario, place of residence of mother","2016A000235","Month of birth, September","Percentage of live births","Percentage","242","units","0","v21400711","7.10.2","8.5","","","","1"
"1991","Ontario, place of residence of mother","2016A000235","Month of birth, October","Number of live births","Number","223","units","0","v21400712","7.11.1","12637","","","","0"
"1991","Ontario, place of residence of mother","2016A000235","Month of birth, October","Percentage of live births","Percentage","242","units","0","v21400713","7.11.2","8.3","","","","1"
"1991","Ontario, place of residence of mother","2016A000235","Month of birth, November","Number of live births","Number","223","units","0","v21400714","7.12.1","11806","","","","0"
"1991","Ontario, place of residence of mother","2016A000235","Month of birth, November","Percentage of live births","Percentage","242","units","0","v21400715","7.12.2","7.7","","","","1"
"1991","Ontario, place of residence of mother","2016A000235","Month of birth, December","Number of live births","Number","223","units","0","v21400716","7.13.1","12192","","","","0"
"1991","Ontario, place of residence of mother","2016A000235","Month of birth, December","Percentage of live births","Percentage","242","units","0","v21400717","7.13.2","8.0","","","","1"
"1991","Manitoba, place of residence of mother","2016A000246","Total, month of birth","Number of live births","Number","223","units","0","v21400718","8.1.1","17281","","","","0"
"1991","Manitoba, place of residence of mother","2016A000246","Total, month of birth","Percentage of live births","Percentage","242","units","0","v21400719","8.1.2","100.0","","","","1"
"1991","Manitoba, place of residence of mother","2016A000246","Month of birth, January","Number of live births","Number","223","units","0","v21400720","8.2.1","1448","","","","0"
"1991","Manitoba, place of residence of mother","2016A000246","Month of birth, January","Percentage of live births","Percentage","242","units","0","v21400721","8.2.2","8.4","","","","1"
"1991","Manitoba, place of residence of mother","2016A000246","Month of birth, February","Number of live births","Number","223","units","0","v21400722","8.3.1","1265","","","","0"
"1991","Manitoba, place of residence of mother","2016A000246","Month of birth, February","Percentage of live births","Percentage","242","units","0","v21400723","8.3.2","7.3","","","","1"
"1991","Manitoba, place of residence of mother","2016A000246","Month of birth, March","Number of live births","Number","223","units","0","v21400724","8.4.1","1503","","","","0"
"1991","Manitoba, place of residence of mother","2016A000246","Month of birth, March","Percentage of live births","Percentage","242","units","0","v21400725","8.4.2","8.7","","","","1"
"1991","Manitoba, place of residence of mother","2016A000246","Month of birth, April","Number of live births","Number","223","units","0","v21400726","8.5.1","1516","","","","0"
"1991","Manitoba, place of residence of mother","2016A000246","Month of birth, April","Percentage of live births","Percentage","242","units","0","v21400727","8.5.2","8.8","","","","1"
"1991","Manitoba, place of residence of mother","2016A000246","Month of birth, May","Number of live births","Number","223","units","0","v21400728","8.6.1","1521","","","","0"
"1991","Manitoba, place of residence of mother","2016A000246","Month of birth, May","Percentage of live births","Percentage","242","units","0","v21400729","8.6.2","8.8","","","","1"
"1991","Manitoba, place of residence of mother","2016A000246","Month of birth, June","Number of live births","Number","223","units","0","v21400730","8.7.1","1458","","","","0"
